month_year,location,Drone_Count,location,Fatality_Count
2022-06,,1,Cherkasy,0
2022-06,,1,"Chortkiv, Ternopil",0
2022-06,,1,Donetsk,1
2022-06,,1,Dovhenke,0
2022-06,,1,Izium,0
2022-06,,1,Kharkiv,0
2022-06,,1,Kharkiv?,0
2022-06,,1,Kherson,0
2022-06,,1,Kiyanitsa,0
2022-06,,1,Kremenchuk,0
2022-06,,1,Kyiv,0
2022-06,,1,Luhansk,40
2022-06,,1,Lyman,0
2022-06,,1,Lysychans'k,0
2022-06,,1,Lysychansk,8
2022-06,,1,Marinka,0
2022-06,,1,Mariupol,0
2022-06,,1,Mikolaiv,0
2022-06,,1,Mykolaiv,0
2022-06,,1,Mykolajiv,0
2022-06,,1,Nikolaev,0
2022-06,,1,"Novoshakhtinsk, Rostov, Russia",0
2022-06,,1,Ocheretyne,0
2022-06,,1,Popasnaya,0
2022-06,,1,Rubizhne,0
2022-06,,1,Saltovka,0
2022-06,,1,Severodonetsk,0
2022-06,,1,Sumy,4
2022-06,,1,Sviatohirsk,0
2022-06,,1,Toshivka,0
2022-06,,1,Toshkivka,0
2022-06,,1,Vuhledar,0
2022-06,,1,Yasinovata,0
2022-07,,1,Aleksandrovskaya,0
2022-07,,1,Avdiivka,0
2022-07,,1,Bakhmut,0
2022-07,,1,Bogodukhiv,0
2022-07,,1,"Chasiv Yar, Donetsk",4
2022-07,,1,Chernihiv,0
2022-07,,1,Chuhuiv,0
2022-07,,1,Dnipro,0
2022-07,,1,Donetsk,1
2022-07,,1,Donetsk City,0
2022-07,,1,Donetsk city,0
2022-07,,1,Druzhkivka,0
2022-07,,1,"Dubove, Volyn",1
2022-07,,1,Horlivka,1
2022-07,,1,Huliaipole,0
2022-07,,1,Kharkiv,0
2022-07,,1,Kherson,0
2022-07,,1,Kostyantynivka,0
2022-07,,1,Kramatorsk,0
2022-07,,1,Kyselivka,0
2022-07,,1,Lyman,0
2022-07,,1,Mykolaiv,0
2022-07,,1,Nikolaev,0
2022-07,,1,Nikopol,0
2022-07,,1,Nova Kakhovka,0
2022-07,,1,Odessa,0
2022-07,,1,"Olenivka, Donetsk oblast",0
2022-07,,1,Severodonetsk,0
2022-07,,1,Slavyansk,0
2022-07,,1,Slovyansk,0
2022-07,,1,Toretsk,6
2022-07,,1,Vinnytsia,3
2022-07,,1,Vuhledar,0
2022-07,,1,Zolochiv,0
2022-08,,1,Bakhmut,0
2022-08,,1,Chaplyne (Dnipro),25
2022-08,,1,Donbass,0
2022-08,,1,Donestk,0
2022-08,,1,Donetsk,0
2022-08,,1,Donetsk City,0
2022-08,,1,Enerhodar,1
2022-08,,1,Gorlivka,0
2022-08,,1,Izium,0
2022-08,,1,Kharkiv,0
2022-08,,1,"Kharkiv, Kyevsky district",0
2022-08,,1,Kherson,0
2022-08,,1,Marinka,0
2022-08,,1,"Maryinka, Donetsk",0
2022-08,,1,Mikolaiv,0
2022-08,,1,Mykolaiv,0
2022-08,,1,"Mykolayivka, Donetsk",0
2022-08,,1,Nikopol,0
2022-08,,1,Nova Kakhovka,0
2022-08,,1,Orikhiv,0
2022-08,,1,"Pisky, Donetsk oblast",0
2022-08,,1,Popasna,0
2022-08,,1,Slovyansk,0
2022-08,,1,"Toretsk, Donetsk",2
2022-08,,1,"Troetsk, Donetsk oblast",8
2022-08,,1,Zatoka (Odesa),2
2022-08,,0,Zelenodol,0
2022-09,,0,"Alchevsk, Luhansk",0
2022-09,,0,Bakhmut,0
2022-09,,0,Berdyansk,0
2022-09,,0,Dnipro,0
2022-09,,0,Donetsk,13
2022-09,,0,Enerhodar,0
2022-09,,0,Huliaipole,0
2022-09,,0,Izyum,0
2022-09,,0,Kadiivka,0
2022-09,,0,Kharkiv,0
2022-09,,0,Kharkiv (Novobovarskyi),0
2022-09,,0,Kherson,0
2022-09,,0,Kramatorsk,0
2022-09,,0,Krasnohorivka,0
2022-09,,0,Kryvyi Rih,0
2022-09,,0,Kupyansk,0
2022-09,,0,Luhansk,0
2022-09,,0,Mikolaiv,0
2022-09,,0,Mykolaiv,0
2022-09,,0,"Mykolaivka, Donetsk",0
2022-09,,0,Ochakiv,0
2022-09,Odesa oblast and Mykolaiv oblast,1,,0
2022-09,,0,Odessa,0
2022-09,,0,"Ozerne, Donetsk",0
2022-09,,0,Pechenigy (Kharkiv),1
2022-09,,0,"Perevalsk, Luhansk",1
2022-09,,0,Pervomaiske (Kharkiv),7
2022-09,,0,Pisky-Rad'kivs'ki,0
2022-09,,0,Pivdennoukrainsk,0
2022-09,,0,"Privokzalny, Donetsk City",0
2022-09,,0,Slavyansk,0
2022-09,,0,"Svitlodarsk, Donetsk",0
2022-09,,0,Temyrivka,0
2022-09,Ukraine,1,,0
2022-09,,0,"Voznesensk, Mykolaiv",0
2022-09,,0,Yuzhnoukrainsk,0
2022-09,,0,Zaporizhzhia,23
2022-09,,0,Zelenodolsk,11
2022-10,,0,"Alchevsk, Luhansk",0
2022-10,,0,Avdiivka,7
2022-10,,0,Bakhmut,0
2022-10,,0,Cherkassy,0
2022-10,,0,Dar'ivka,4
2022-10,,0,Dnipro,2
2022-10,Dnipropetrovsk oblast,1,,0
2022-10,,0,Donetsk,0
2022-10,,0,Dvorichny,0
2022-10,,0,Enerhodar,0
2022-10,,0,Huliaipole,2
2022-10,,0,Izyium,0
2022-10,,0,Kharkiv,1
2022-10,,0,Kherson,0
2022-10,Kherson oblast,1,,0
2022-10,,0,Kup'yans'k,2
2022-10,,0,Kupyansk,0
2022-10,,0,Kyiv,0
2022-10,Kyiv oblast and north,1,,0
2022-10,,0,Lviv,0
2022-10,,0,Lyman,0
2022-10,,0,Mykolaiv,3
2022-10,Mykolaiv oblast,5,,0
2022-10,,0,Near Kupiansk,1
2022-10,,0,Nikopol,0
2022-10,,0,Nova Kahovka,0
2022-10,,0,Novoplatonivka,2
2022-10,Odesa oblast,1,,0
2022-10,Odesa oblast and Mykolaiv oblast,4,,0
2022-10,Odesa oblast and Mykolaiv oblast and Vinnytsia oblast,1,,0
2022-10,,0,Orikhiv,8
2022-10,,0,"Petrovs'kyi, Donetsk",0
2022-10,,0,"Shakhtyorsk, Donetsk",0
2022-10,,0,Snihurivka,0
2022-10,,0,Sumy,1
2022-10,,0,Svitlovodsk,0
2022-10,Ukraine,13,,0
2022-10,,0,Vinnytsia,0
2022-10,,0,"Yesk, Russia",0
2022-10,,0,Zaporizhia,0
2022-10,,0,Zaporizhzhia,2
2022-10,south,4,,0
2022-11,,0,Belgorod,0
2022-11,,0,"Belopolie, Sumy oblast",0
2022-11,,0,Dnipro,5
2022-11,Dnipropetrovsk oblast,1,,0
2022-11,Donetsk oblast,1,,0
2022-11,,0,Kharkiv,0
2022-11,,0,Kherson,0
2022-11,,0,Kinski Rozdory (Zaporizh),0
2022-11,,0,"Kupiansk, Kharkiv",2
2022-11,,0,Kupyansk,2
2022-11,,0,Kyiv,1
2022-11,,0,Mykolaiv,1
2022-11,,0,Plesetske (Kyiv),1
2022-11,Poltava oblast,1,,0
2022-11,,0,Posad-Pokrovske,0
2022-11,,0,PrzewodÃ³w (Poland),2
2022-11,,0,"Rozivka, Horlivka",0
2022-11,,0,Solonka (Lviv),0
2022-11,,0,Toretsk,0
2022-11,Ukraine,4,,0
2022-11,,0,"Vilniansk, Zaporizhza",1
2022-11,,0,"Vovchansk, Kharkiv",0
2022-11,,0,Vyshgorod,4
2022-11,,0,Yasynovata,0
2022-11,,0,Zaporizhza,0
2022-11,,0,Zolota Balka,0
2022-11,center,1,,4
2022-11,east,2,,0
2022-11,south,1,,0
2022-12,,0,Chuhuiv,0
2022-12,,0,Donetsk,0
2022-12,Mykolaiv oblast,1,,1
2022-12,Odesa oblast and Mykolaiv oblast and Kherson oblast,1,,1
2022-12,Ukraine,3,,1
2023-01,Odesa oblast,1,,1
2023-01,Ukraine,3,,1
2023-02,Ukraine,2,,1
2023-03,north,3,,1
2023-04,Kherson oblast,1,,1
2023-04,Odesa oblast,1,,1
2023-04,Odesa oblast and Mykolaiv oblast,1,,1
2023-04,Ukraine,1,,1
2023-05,Kyiv oblast,2,,1
2023-05,Mykolaiv oblast,1,,5
2023-05,Mykolaiv oblast and Kherson oblast,2,,1
2023-05,Odesa oblast and north,1,,1
2023-05,Ukraine,16,,1
2023-05,east,2,,2
2023-05,front line,1,,1
2023-05,north,1,,1
2023-05,north-east,1,,1
2023-05,south,1,,1
2023-05,south-east,2,,1
2023-06,Kharkiv oblast and Sumy oblast,1,,1
2023-06,Khmelnytskyi oblast,1,,1
2023-06,Kyiv oblast,1,,1
2023-06,Kyiv oblast (south),1,,1
2023-06,Mykolaiv oblast,1,,1
2023-06,Ukraine,15,,1
2023-06,east,1,,1
2023-06,south-east,2,,1
2023-07,Dnipropetrovsk oblast and Kherson oblast,1,,1
2023-07,Dnipropetrovsk oblast and Kirovohrad oblast,1,,1
2023-07,Kyiv oblast,1,,1
2023-07,Odesa oblast,1,,13
2023-07,Ukraine,20,,1
2023-08,Dnipropetrovsk oblast,1,,1
2023-08,Kharkiv oblast,2,,1
2023-08,Kyiv oblast and Odesa oblast,1,,1
2023-08,Odesa oblast,2,,1
2023-08,Odesa oblast and Zaporizhzhia oblast,1,,6
2023-08,Ukraine,7,,1
2023-08,Zaporizhzhia oblast,2,,1
2023-09,Dnipropetrovsk oblast and Poltava oblast and Kirovohrad oblast and Sumy oblast,1,,1
2023-09,Dnipropetrovsk oblast and Zaporizhzhia oblast,1,,1
2023-09,Dnipropetrovsk oblast and Zaporizhzhia oblast and Mykolaiv oblast,2,,1
2023-09,Dnipropetrovsk oblast and Zaporizhzhia oblast and Mykolaiv oblast and Sumy oblast,1,,1
2023-09,Khmelnytskyi oblast,1,,1
2023-09,Kyiv oblast,1,,1
2023-09,Odesa oblast,3,,1
2023-09,Odesa oblast and Dnipropetrovsk oblast,1,,1
2023-09,Odesa oblast and Mykolaiv oblast,2,,1
2023-09,Odesa oblast and Mykolaiv oblast and Vinnytsia oblast,1,,1
2023-09,Odesa oblast and Sumy oblast,2,,1
2023-09,Ukraine,5,,1
2023-09,east,1,,1
2023-10,Dnipropetrovsk oblast,1,,1
2023-10,Dnipropetrovsk oblast and Mykolaiv oblast,1,,1
2023-10,Kryvyi Rih,1,,11
2023-10,Mykolaiv oblast,1,,1
2023-10,Mykolaiv oblast and Kherson oblast,1,,1
2023-10,Mykolaiv oblast and Vinnytsia oblast and Khmelnytskyi oblast,1,,1
2023-10,Mykolaiv oblast and Zaporizhzhia oblast and Khmelnytskyi oblast,1,,1
2023-10,Odesa oblast,1,,1
2023-10,Odesa oblast and Mykolaiv oblast,1,,1
2023-10,Odesa oblast and Mykolaiv oblast and Kherson oblast,1,,1
2023-10,Odesa oblast and Mykolaiv oblast and Kirovohrad oblast,1,,1
2023-10,Ukraine,5,,14
2023-10,north,2,,1
2023-10,south,1,,1
2023-10,south and east and center,1,,1
2023-10,south and north and center,1,,1
2023-11,Dnipropetrovsk oblast and Zaporizhzhia oblast,1,,1
2023-11,"Dnipropetrovsk oblast, Synelnykove Raion",1,,1
